Begriffe,Website-Text,Website-Verlinkung,Quellen,Allgemeine Begrifflichkeiten,Psychische Gewalt,Körperliche Gewalt,Gewalt in der Arbeitswelt ,Häusliche Gewalt ,Digitale Gewalt 
Sexueller Missbrauch von Kindern,"Sexueller Missbrauch von Kindern ist gemäß § 176 Strafgesetzbuch (StGB) eine Straftat gegen die sexuelle Selbstbestimmung. Das bedeutet, dass sich ein Erwachsener oder Jugendlicher (14 Jahre und älter) strafbar macht, wenn er sexuelle Handlungen an einem Kind (Person unter 14 Jahren) vornimmt oder an sich vornehmen lässt. Diese Handlungen können mit und ohne Körperkontakt stattfinden. Somit fallen insbesondere Berührungen im Intimbereich und alle Formen von Vergewaltigungen darunter. Jedoch auch das Zeigen oder gemeinsame Betrachten pornografischer Bilder oder das Entblößen von Genitalien und das Manipulieren an Geschlechtsteilen sind nach dem Strafgesetzbuch Missbrauchshandlungen, wenn ein Erwachsener oder Jugendlicher mit oder vor einem Kind agiert. Solche Handlungen an oder vor Kindern sind immer strafbar, auch wenn sich das Kind scheinbar einverstanden gezeigt hat. Der Gesetzgeber geht davon aus, dass ein Kind aufgrund seiner emotionalen und intellektuellen Entwicklung einer sexuellen Handlung nicht wissentlich zustimmen kann. Deshalb tragen Kinder grundsätzlich nie Schuld an einem Missbrauch. Das ungleiche Machtverhältnis zwischen Tätern und kindlichen Opfern begünstigt zusätzlich den sexuellen Missbrauch. Missbrauchende nutzen dabei meist ihre geistige und körperliche Überlegenheit und das Vertrauen des Kindes aus.",https://www.polizei-beratung.de/infos-fuer-betroffene/sexueller-missbrauch-von-kindern/,Vgl. Polizei-Beartung ,x,x,x,,,x
Silencing,"Silencing (dt. Zum Schweigen bringen), ist eine Form des Tone Policing. Dabei werden Bevölkerungsgruppen, Kulturen, Lebensweisen und Perspektiven zum Schweigen gebracht. Gerade in Diskriminierungs und Rassismus Kontexten, in denen BIPoC zugehört und wahrgenommen werden müssen, kommt es vermehrt zu Tone Policing und Silencing Versuchen. Dabei wird ihnen vorgeschrieben, wie sie über ihre Erfahrungen und Emotionen zu sprechen haben, da sie zu wütend oder zu laut erscheinen, um ein Gespräch zu führen. Durch das Tone Policing von nicht betroffenen Menschen, werden Stereotype gegen marginalisierte Personen reproduziert und Machtstrukturen geschaffen. Ein Beispiel von typischen Figuren, die von Tone Policing betroffen sind, sind vermeintlich aggressiv auftretende Feminist*innen oder das Stereotyp der wütenden Schwarzen Frau. Seitens der nicht Betroffenen wird hierbei verlangt, einen ruhigeren oder sachlichen Ton zu benutzen, um gehört zu werden. Diese Ansicht ist privilegiert und eine Form von Mikroaggression. Diese Form der Unterdrückung lässt die Betroffenen verstummen und kann dazu führen, dass ihrer Plattform kein Gehör verschafft wird. ",https://renk-magazin.de/was-ist-silencing/,"Vgl. renk Magazin 15.03.2022, Was ist Silencing? ",x,x,,,,
Soziale Gewalt,"Soziale Gewalt zählt mit zur Kategorie der psychischen Gewalt und geht oft einher mit einer Isolation der Betroffenen. Es handelt sich um ein Verhalten, das darauf abzielt, die Frau zu isolieren und beinhaltet zum Beispiel das Verbot von Kontakten mit der Familie oder Freunden, das Einsperren zu Hause, das Absperren des Telefons. ",https://link.springer.com/chapter/10.1007/978-3-531-93127-2_3,"Vgl. Lamnek/Luedtke/Ottermann/Vogl 2012, Soziale Bedingungen häuslicher Gewalt",,x,,,x,
Stalking,"Der englische Begriff ""to stalk"" kommt aus der Jagd und bedeutet so viel wie anschleichen oder anpirschen. Stalking bezeichnet das intensive und andauernde Nachstellen, Belästigen und Bedrohen der ausgewählten Person. Stalkerinnen und Stalker zwingen Betroffenen den Kontakt auf. Es geht ihnen nicht um eine Beziehung. Tatsächliches Ziel sind Macht und Kontrolle. Stalking kann viele Formen annehmen. Dazu gehören die ständige unerwünschte Kommunikation über Briefe, E-Mails, Telefon, Messenger oder das Beobachten und Auskundschaften von Tagesabläufen und Gewohnheiten. Auch die indirekte Kontaktaufnahme über dritte Personen, Beschimpfungen sowie das Eindringen in Wohnräume oder Lebensbereiche wie den Arbeitsplatz, den Verein oder das Fitnessstudio zählen dazu. Unerwünschte Geschenke oder Bestellungen im Namen der Betroffenen, das Zerstören von Eigentum sowie das Androhen von Gewalt bis hin zu tatsächlichen körperlichen oder sexuellen Übergriffen können ebenfalls als Stalking bezeichnet werden.",https://www.bmfsfj.de/bmfsfj/themen/gleichstellung/frauen-vor-gewalt-schuetzen/haeusliche-gewalt/formen-der-gewalt-erkennen-80642,"Vgl. BMFSFJ 2023, Formen der Gewalt erkennen ",x,x,,,,x
Stealthing,"Stealthing (engl. Heimlichkeit, List) ist eine Masche, bei welcher bei einvernehmlichem Geschlechtsverkehr der Mann unbemerkt das Kondom abzieht und den Sex ungeschützt vor Schwangerschaft und Geschlechtskrankheiten fortführt. Stealthing ist seit Ende 2022 strafbar und kann sogar als Vergewaltigung eingestuft werden. Auch das heimliche Perforieren (Durchlöchern) von Kondomen wurde von einem Gericht bereits als sexuelle Nötigung gewertet. ",https://www.polizei-beratung.de/aktuelles/detailansicht/heimlich-das-kondom-abstreifen-gilt-als-sexueller-uebergriff/,"Vgl. Polizei-Beartung, Stealthing - Neues Phänomen gilt als sexueller Übergriff ",x,,x,,,
Täter-Opfer-Umkehr,"Täter-Opfer-Umkehr ist ein Begriff aus der Kriminologie und bezieht sich auf eine Situation, in der das Opfer einer Straftat als Täterin oder Täter, bzw. als Mittäterin, Mittäter dargestellt oder behandelt wird. Der englische Begriff „Victim Blaming“ bedeutet wörtlich übersetzt „Opfer beschuldigen“ bzw. „Opfer-Schelte“. Victim Blaiming tritt u.a. infolge von häuslicher Gewalt, Vergewaltigungen, klassischen Betrugsdelikten oder rassistischen Übergriffen auf. Die Ursache für einen Übergriff wird hierbei nicht bei der Tatperson, sondern im vermeintlich „provokativen“ Verhalten des Opfers gesucht. Man spricht dabei von einer möglichen „Mitschuld“, wo es aber keine gibt. Andersherum formuliert hieße das, wenn man sich selbst richtig verhalten würde, könnte ja nichts passieren. Das wäre eine trügerische Sicherheit und falsch.",https://www.polizei-beratung.de/infos-fuer-betroffene/victim-blaming/,Vgl. Polizei-Beratung,x,,,,,
Trauma,"Unter einem Trauma verstehen Fachleute eine schwere seelische Verletzung, die durch ein extrem belastendes persönliches Erlebnis ausgelöst werden kann. Traumatisierend können verschiedene Situationen und Ereignisse wirken, die so außergewöhnlich bedrohend oder katastrophal sind, dass sie bei fast jedem Menschen eine tiefe Verzweiflung auslösen würden. Hierzu zählen unter anderem: Naturkatastrophen, schwere Unfälle, Kriege, Tod naher Angehöriger, lebensbedrohliche Erkrankungen, körperliche oder sexuelle Gewalt. Ein Trauma kann eine starke und oft langanhaltende seelische Belastung zur Folge haben. Das hat jedoch nichts mit Schwäche zu tun. Vielmehr gibt es außergewöhnlich belastende Situationen, die ein Mensch nicht ohne Weiteres bewältigen kann. So gesehen handelt es bei einer Traumatisierung um eine komplexe Reaktion auf extreme äußere Einflüsse, welche von verschiedenen Faktoren beeinflusst wird.",https://www.aok.de/pk/magazin/koerper-psyche/psychologie/trauma-wenn-die-seele-verletzt-wird/,"Vgl. AOK 2022, Trauma: Wenn die Seele verletzt wird",x,x,,,,
Übergriff,"Übergriffe unterscheiden sich von Grenzverletzungen dadurch, dass sie nicht zufällig passieren, nicht aus Versehen. Sie resultieren vielmehr aus persönlichen und/oder grundlegenden fachlichen Defiziten. Sicherlich sind nicht alle übergriffigen Handlungen im Detail geplant, doch entwickelt sich ein übergriffiges Verhalten/übergriffige Verhaltensmuster nur, wenn Erwachsene oder Jugendliche sich über gesellschaftliche/kulturelle Normen, institutionelle Regeln, den Widerstand der Opfer und/oder fachliche Standards hinwegsetzen. Übergriffe können psychisch, sexuell (mit oder ohne Körperkontakt), körperlich, materiell sein oder auch eine Vernachlässigung darstellen.",https://zartbitter.de/gegen_sexuellen_missbrauch/Fachinformationen/6005_missbrauch_in_der_schule.php,"Vgl. Zartbitter e.V., Zur Differenzierung zwischen Grenzverletzung, Übergriff und strafrechtlich relevanten Formen der Gewalt im pädagogischen Alltag",x,,x,,,
Vergewaltigung,"Eine Vergewaltigung ist jegliches Eindringen in den Körper oder der Versuch des Eindringens in den Körper einer Person ohne deren Einverständnis. Vergewaltigung ist ein Verbrechen und beschreibt die extremste Form sexualisierter Gewalt, bei der Sexualität als Mittel zur Machtdemonstration, Demütigung und Unterwerfung von Menschen eingesetzt wird. Nach der Sexualstrafrechtsreform vom  Jahr 2016 kommt es für die Strafbarkeit einer sexuellen Handlung nicht mehr darauf an, ob körperliche Gewalt angewendet wurde oder ob eine betroffene Person sich gewehrt hat. Ein sexueller Übergriff ist dann strafbar, wenn er gegen den erkennbaren Willen einer Person ausgeübt wird. Der Grundsatz „Nein heißt Nein“ ist damit auch im deutschen Strafrecht verankert. ",https://beratung-bonn.de/themen/vergewaltigung/,Vgl. Beratungsstelle gegen sexualisierte Gewalt,x,,x,,,
Victim Blaming,"Victim Blaming (Täter-Opfer-Umkehr) ist ein Begriff aus der Kriminologie und bezieht sich auf eine Situation, in der das Opfer einer Straftat als Täterin oder Täter, bzw. als Mittäterin, Mittäter dargestellt oder behandelt wird. Der englische Begriff „Victim Blaming“ bedeutet wörtlich übersetzt „Opfer beschuldigen“ bzw. „Opfer-Schelte“. Victim Blaiming tritt u.a. infolge von häuslicher Gewalt, Vergewaltigungen, klassischen Betrugsdelikten oder rassistischen Übergriffen auf. Die Ursache für einen Übergriff wird hierbei nicht bei der Tatperson, sondern im vermeintlich „provokativen“ Verhalten des Opfers gesucht. Man spricht dabei von einer möglichen „Mitschuld“, wo es aber keine gibt. Andersherum formuliert hieße das, wenn man sich selbst richtig verhalten würde, könnte ja nichts passieren. Das wäre eine trügerische Sicherheit und falsch.",https://www.polizei-beratung.de/infos-fuer-betroffene/victim-blaming/,Vgl. Polizei-Beratung,x,,,,,
Wirtschaftliche Gewalt,"Wirtschaftliche Gewalt bezeichnet jene Situationen, in denen die Frau über kein eigenes Einkommen verfügt und der Partner diese Situation ausnützt, indem er ungenügende Geldmittel für Haushaltsangelegenheiten bereitstellt und/oder Einkommen, Vermögen und Ausgaben geheim hält. Die Beschränkungen sollen darauf abzielen, das erzielte Einkommen zu kontrollieren. Wie bei anderen Formen von Gewalt besteht ihre Funktion darin, Abhängigkeit und Angst zu erzeugen, die dazu beitragen, den Vorrang des männlichen Familienoberhauptes in einem Muster der Ungleichheit der Geschlechter zu stärken, das dank Gewalt länger anhält.",https://www.gewaltinfo.at/fachwissen/formen/oekonomische_gewalt.php,"Vgl. Gewalt INFO at, Ökonomische Gewalt",,,,,x,
Frauenhass,"Neben dem Begriff Frauenhass (Misogynie) findet man häufig als Synonym die Formulierung der Frauenfeindlichkeit. Misogynie beschreibt die Annahme einer ontologischen Minderwertigkeit von Frauen, wie sie seit der Antike in verschiedenen Schriften der Philosophie und Literatur, aber letztlich auch im christlichen Glauben, der Hexenverfolgung und wissenschaftlichen Abhandlungen zum Ausdruck gebracht wurde.Zur Auflösung der Während der Begriff zwar etwas sehr Konkretes bezeichnet – nämlich die Abwertung von Frauen –, wird er gleichwohl seit vielen Jahren auch in einer allgemeineren Form als strukturelle Entwertung oder Benachteiligung von Weiblichkeit gebraucht.",https://www.bpb.de/shop/zeitschriften/apuz/267942/frauenfeindlich-sexistisch-antifeministisch/#footnote-target-2,"Vgl. Bundeszentrale für politische Bildung 2018, Aus Politik und Zeitgeschichte",x,x,x,x,x,x
Machtmissbrauch,,"https://www.antidiskriminierungsstelle.de/SharedDocs/downloads/DE/praxisbeispiele/praxisbeispiel-ufa-handl-leitfaden-machtmissbrauch.pdf?__blob=publicationFile&v=4#:~:text=Systemische%20Einordnung%3A%20Machtmissbrauch%20ist%20der,G%C3%BCnstlingen%20pers%C3%B6nliche%20Vorteile%20zu%20verschaffen.",,,,,,,
Manipulation,,https://www.bpb.de/kurz-knapp/lexika/das-junge-politik-lexikon/320758/manipulation/,,,,,,,
